artist_id,artist_name,artist_followers,artist_genres,artist_popularity
6WSTevYt4rGwm8QPKQr7dU,K.A.A.N.,261486,"['deep underground hip hop', 'indie pop rap']",47
46ZKkiF5p7EUjBL0JknTxQ,Konata Small,14047,['christian trap'],36
0rMwQONuoIsaJir7AFSTTZ,Crispin,766,[],32
0r25HIHVcGcaEuJ8s5AK00,Lil Happy Lil Sad,196963,"['cloud rap', 'emo rap']",42
0cbJUnDeqXKecbjZpERngy,Kuroime,196,[],26
3eKw7Bys6mA68PSoKxKwR7,Lil Bo Weep,140767,"['cloud rap', 'emo rap']",41
5RnnKfWQU3C2rTqAIJsJiq,ELHIXIR,917,[],27
3y24n3XhZ96wgwRXjvS17T,Coolio,961874,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",67
2LhsePRtgCo4THVKULQBL7,L.V.,19048,[],66
7u710e44HW3K7A5eTnRqHC,Fabri Fibra,1375254,"['italian hip hop', 'italian pop', 'rap napoletano']",65
3ddT1Q3KQAm1G7UcIfz5KJ,convolk,200933,"['cloud rap', 'emo rap', 'melodic rap']",49
7ow7nXWCZuMoU09aRki7GB,halberd,29561,"['lo-fi beats', 'lo-fi rap']",44
6zqcGQ6MH6yetBUoquMnL7,guardin,202088,"['cloud rap', 'emo rap']",52
4zxMVHfIt3uZ5e5PTgl0ax,Jakkyboí,5986,['emo rap'],34
597FEAQwddF3kZJ3u9gKFC,9tails,25023,['emo rap'],38
6yhD1KjhLxIETFF7vIRf8B,Against The Current,467324,"['neon pop punk', 'pixie', 'pop punk']",62
5he5w2lnU9x7JFhnwcekXX,Skrillex,8228717,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",76
4e7qJTThm5uI3CplqZObfT,Birdy Nam Nam,126202,"['filter house', 'turntablism']",48
5XJdV8h0NLbf3CZdfwX3lg,Lord Flacko,1489,[],46
7yNqUSyJGymfJQghNU0zcH,Грибы,142499,"['hard bass', 'russian hip hop', 'ukrainian hip hop']",43
4UOlRVifrFdQHW9qu5ep8t,Tech N9ne Collabos,526634,"['country rap', 'kansas city hip hop']",50
7mAqCk75DUBWgcC0sqhzwX,John 5,93288,"['instrumental rock', 'shred']",38
711MCceyCBcFnzjGY4Q7Un,AC/DC,27031010,"['australian rock', 'hard rock', 'rock']",79
6Hpe3EZqFMWYtJ61D0GjSa,Mellen Gi,20163,[],56
2Eg0o1Mok66akOkuOiGdEv,Zack Hemsey,149235,['epicore'],47
3rExe3A3FzAmYDlQuvW2Wx,Vinnie Paz,265368,"['conscious hip hop', 'philly rap', 'political hip hop']",51
4TCqgEIWd5RsCKItJqt8PL,Chris Rivers,22516,['bronx hip hop'],33
303QjOSvDXowltu7AesyeM,whispers,5,[],26
1hHYi4Vy83BGo6TqKd98hu,Boro,320075,"['italian hip hop', 'italian pop']",56
3WrMBQYO99lzSOhYGPiVoQ,Don Joe,86035,['italian hip hop'],50
4BFn4jmfqSNaHtPWHTcy41,MamboLosco,787798,"['italian pop', 'trap italiana']",62
6D6rjLdxyE5vwhMlkuQq0E,Chaos Chaos,83463,['la indie'],40
6nkziP0t4AGtsBye9poRnv,Kintsugi,571,[],24
4r1DHaB2yIhddOkTF92d1d,NASKA,69246,['emo rap italiano'],54
