album_id,album_name,album_total_tracks,album_type,album_release_date,album_label,album_popularity
2ePFIvZKMe8zefATp9ofFA,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],1,single,2013-04-19,Columbia,72
4mnXv0H8F6V8TiVYenlksE,Blood Is Rebel,6,single,2019-05-17,Position Music,1
7sXufweikTP0DcDSBGwpoD,...Squérez?,12,album,1999-11-30,Universal Music Italia srL.,61
3hniFWgi51F8MpXrACCLGY,Storm at Sea / Yggdrasill (from The Northman),1,single,2022-04-12,Back Lot Music,8
6BYwH7XRUN5foD9RcDYaQE,The Northman (Original Motion Picture Soundtrack),43,album,2022-04-22,Back Lot Music,54
0nyUIJbb1bEIRCTpD2sQ2R,tell me your feelings and i won't tell you mine,5,single,2021-10-08,Columbia,52
43a5RQrpBE4bEMCMdpxvUA,Nigdy albo zawsze,1,single,2021-08-03,DOPEHOUSE,0
3sGDniFo4e5r0bwmSL2upZ,The Dark Knight Rises,15,album,2012-08-29,Sony Classical,0
5xrOcCoO3jkXRjHQjfESM6,Mad Love The Prequel,9,album,2018-06-29,Universal-Island Records Ltd.,73
4p8NsPV7XvthUqAGrGb5qM,Light's Theme Rude,1,single,2022-03-27,Withzera,0
6mfO07ZmVJ5W9Jh7HASPmS,R.K. Huskers,1,single,2022-04-08,"Strange Music, Inc",30
0FSsRH1jeZqKbGcHwq3UO0,Imagination & the Misfit Kid,15,album,2019-11-22,Syco Music,72
0wfne2JijoxJm0qzJd3V5h,ARDIPITHECUS,15,album,2015-01-11,Roc Nation W Smith P&D,71
1yMwxEqksmM4WBe09wPdkb,Death Rattle,17,album,2019-09-27,The Ayems,54
2UJcKiJxNryhL050F5Z1Fk,Nevermind (Remastered),13,album,1991-09-26,Geffen,81
0rgggvSYGSms079nUlcAGX,"NOI, LORO, GLI ALTRI",14,album,2021-11-19,Universal Music Italia srL.,67
5DkR7Wn2rUWY5Hw9csN0ui,Fight Back: The Collection,12,album,2018-11-30,Burning Boat,68
