track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature
2Foc5Q5nqNiosCNqttzHof,2022-05-02T21:51:09Z,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2ePFIvZKMe8zefATp9ofFA,4tZwfgrHOc3mvqYlEYSvVi,"['2RdwBSPQiwcmiDo9kixcl8', '3yDIp0kaq9EFKe07X1X2rz']",248413,False,83,6,116.047,0.811,0.794,0.862,-8.966,0.0426,1.07e-06,0.101,0,0.038,4
5D7aDZog6fjw7xLrEqAcir,2022-05-02T18:14:20Z,Another Level,4mnXv0H8F6V8TiVYenlksE,3p5nfUyEYsxx8izMCym07n,[],190234,False,2,10,146.104,0.781,0.659,0.642,-5.582,0.255,0.086,0.0773,0,0.062,4
21Ay8mJRYQuOMZp7qyQXl6,2022-04-30T15:52:56Z,50 Special,7sXufweikTP0DcDSBGwpoD,4ZbsxiS90Pj1gLeDv3A9mN,[],207520,False,66,7,160.173,0.939,0.492,0.893,-4.667,0.0031,3.23e-05,0.109,1,0.0314,4
1hNDoOO9O1WSdN3PaMXpCH,2022-04-29T05:43:47Z,Storm at Sea / Yggdrasill (from The Northman),3hniFWgi51F8MpXrACCLGY,0We3iIO3yy6XpQ7OSxDVnn,['7snpYN2ENGuDLhhm1DNN1R'],106539,False,17,7,83.812,0.867,0.178,0.12,-9.441,0.282,0.893,0.149,1,0.156,3
4WWqf2Ldy7NxPTdgG5d96C,2022-04-29T05:42:56Z,The King,6BYwH7XRUN5foD9RcDYaQE,0We3iIO3yy6XpQ7OSxDVnn,['7snpYN2ENGuDLhhm1DNN1R'],117160,False,45,7,115.483,0.593,0.311,0.195,-11.592,0.115,0.0928,0.106,1,0.063,4
7KW1AtQKFToSoF1kmyk2wE,2022-04-26T16:48:24Z,snowflake (feat. Jaden & Sarcastic Sounds),0nyUIJbb1bEIRCTpD2sQ2R,6bmlMHgSheBauioMgKv2tn,"['0xOeVMOz2fVg5BJY3N6akT', '1bq8rqNnfrojn0OSAfeNXJ']",187500,True,60,9,62.829,0.408,0.419,0.502,-10.899,0.95,0.0,0.35,0,0.25,4
2C80DdATZPDbwpLOyimIM0,2022-04-25T14:53:20Z,Nigdy albo zawsze,43a5RQrpBE4bEMCMdpxvUA,1T4HxOYolAEb5PadIVKdWZ,[],246600,False,1,8,117.968,0.436,0.865,0.557,-11.568,0.65,0.0,0.105,0,0.26,4
5yuXdw2gb5bV4MXngcfvN6,2022-04-23T16:26:30Z,Why Do We Fall?,3sGDniFo4e5r0bwmSL2upZ,0YC192cP3KPCRWx8zr8MfZ,[],122920,False,0,2,104.196,0.437,0.252,0.0351,-14.674,0.446,0.601,0.284,0,0.0399,4
48QmG1dfvMuYLxMPt7KSRA,2022-04-14T19:57:29Z,No Lie,5xrOcCoO3jkXRjHQjfESM6,3Isy6kedDrgPYoTS1dazA9,['6M2wZ9GZgrQXHCFfjv46we'],221176,False,84,7,102.04,0.882,0.742,0.463,-2.862,0.0466,0.0,0.206,1,0.117,4
4J3GxS9YIeznyxjYpgXSN3,2022-04-14T16:32:00Z,Light's Theme Rude,4p8NsPV7XvthUqAGrGb5qM,5eKPUGyVlO4hXEJ5nybsdu,[],260480,False,0,3,136.022,0.407,0.613,0.151,-11.146,0.00011,0.917,0.343,0,0.0566,4
5u4aAIDdldUTS4d3QFwBnH,2022-04-14T15:55:29Z,R.K. Huskers,6mfO07ZmVJ5W9Jh7HASPmS,6UBA15slIuadJ8h2lPRPos,[],141714,False,41,9,100.037,0.676,0.807,0.332,-5.518,0.385,0.0,0.106,0,0.0759,4
1ZdhOMWyFR8Iv9eylMGYg2,2022-04-11T14:52:25Z,Mount Everest,0FSsRH1jeZqKbGcHwq3UO0,2feDdbD5araYcm6JhFHHw7,[],157497,True,82,0,87.724,0.428,0.494,0.44,-7.239,0.236,0.0698,0.0816,0,0.205,4
0y60itmpH0aPKsFiGxmtnh,2022-04-11T07:58:27Z,Wait a Minute!,0wfne2JijoxJm0qzJd3V5h,3rWZHrfrsPBxVy692yAIxF,[],196520,False,82,3,101.003,0.705,0.764,0.672,-5.279,0.0371,1.94e-05,0.0943,0,0.0278,4
7KTLZDTOrszIj4oJbLsvBo,2022-04-11T06:32:17Z,Jordan,1yMwxEqksmM4WBe09wPdkb,7Fe4vD5WyjtFxlxSO0d7lP,[],167060,True,63,11,125.918,0.699,0.766,0.34,-7.044,0.593,0.0,0.0829,0,0.448,4
4WmB04GBqS4xPMYN9dHgBw,2022-04-05T17:37:55Z,Day One (Interstellar Theme),3B61kSKTxlY36cYgzvf3cP,0YC192cP3KPCRWx8zr8MfZ,[],199422,False,70,9,95.985,0.0173,0.311,0.0658,-27.788,0.927,0.964,0.0727,0,0.0348,3
4gHnSNHs8RyVukKoWdS99f,2022-03-28T17:16:51Z,Something In The Way,2UJcKiJxNryhL050F5Z1Fk,6olE6TJLqED3rqDCT0FyPh,[],232146,False,75,8,105.218,0.201,0.427,0.0668,-13.044,0.745,0.263,0.109,1,0.0317,4
4QBXMgfDKmmVrYEqICIPxJ,2022-03-21T19:53:32Z,NEMESI (feat. BLANCO),0rgggvSYGSms079nUlcAGX,5AZuEF0feCXMkUCwQiQlW7,['1MRiIeZbc0cRuxOafDUCtH'],175626,True,62,0,120.02,0.736,0.736,0.333,-7.597,0.136,0.000345,0.0753,0,0.0641,4
2SxaA6dhE2lEP1faOFPCu8,2022-03-14T15:30:27Z,Greatest,5DkR7Wn2rUWY5Hw9csN0ui,3z97WMRi731dCvKklIf2X6,[],176000,True,57,2,105.1,0.854,0.827,0.462,-3.508,0.247,0.0,0.377,1,0.133,4
6bXCGI0zBTjvwYBlDkFey3,2022-03-14T15:27:03Z,Ashes on The Fire,4RiSh2jF23Dwbpvlt7pjO9,2hE2ofc7IKD1iQ39HYU5N4,[],274626,False,33,7,101.804,0.684,0.216,0.0908,-10.282,0.00174,0.93,0.057,1,0.0473,3
1Yf1ZZL1012C9h14Ke740p,2022-03-14T15:23:08Z,Can You Feel My Heart - TAR0T Remix,0nhW0W9F4YxBoI8TvyJwrv,6MbYN3cPk0SYSE3Blaodqy,[],262530,False,0,4,127.851,0.637,0.189,0.0713,-6.892,0.00375,0.54,0.606,0,0.0363,4
4tZDUt8vHpvjfOXcHwOvtq,2022-03-14T07:22:50Z,The Search - Edit,07cARcxd2ZMyo5oNgtq758,6fOMl44jA4Sp5b9PpYCkzz,[],197694,False,73,2,119.958,0.851,0.831,0.496,-3.397,0.552,0.0,0.106,1,0.207,4
3tTP5KpO0G2MSisdyh9X3J,2022-03-10T07:23:06Z,The Batman - Main Trailer - Cover Version,4s701HWLl2s5LNFT5Z1CNm,4m1i53DaEliWzSkSFwqv5W,['60xTPRePNppYh4Ol5esmPA'],164291,False,37,11,81.116,0.519,0.165,0.112,-10.775,0.0752,0.854,0.102,1,0.0494,4
5nyef8bHyXaglyArVUNlre,2022-03-07T04:59:53Z,Deadwood,2JMedUxrsr2TUENJla152W,4dDb2XLONSNrTrucRcoaYM,[],186938,False,66,10,180.25,0.756,0.337,0.133,-5.499,0.193,0.862,0.137,1,0.0817,3
4XULNbLgh1OiOuYMbPOmyN,2022-03-05T08:40:44Z,DIECIMILAVOCI (con ARIETE),4D04TN7Kw7Bq98kfDjUmgh,056KMTw6IztdQjBmFfVyO3,['2T4kh33TYdnDesvlQyRst8'],170399,False,54,0,122.089,0.47,0.677,0.525,-8.17,0.647,0.0,0.416,0,0.0336,4
4borvJwC52LxxtDpAUmCRe,2022-03-03T18:34:24Z,Star Shopping,0sA635LABffZau7TRydPdQ,2nirHAhWySBkvccqqmZeRP,[],66083,False,0,2,87.568,0.245,0.387,0.607,-19.011,0.898,0.916,0.111,1,0.0343,4
6z7tGTD6yvyloEm6K2H8EX,2022-02-23T13:56:34Z,LUNA PIENA (con IRAMA),4D04TN7Kw7Bq98kfDjUmgh,056KMTw6IztdQjBmFfVyO3,"['5iot8OPcosJN9nCl7I5SdK', '6hkKbkZGvAXuvle2FhCnxy']",166983,True,68,1,99.963,0.841,0.722,0.467,-3.561,0.405,0.0,0.0876,1,0.0545,4
4HpqJZ9YSAaVsmfNGAyl9w,2022-02-23T13:56:33Z,PARTIRE DA TE,4D04TN7Kw7Bq98kfDjUmgh,056KMTw6IztdQjBmFfVyO3,[],221019,False,64,11,95.009,0.796,0.656,0.699,-4.294,0.222,0.0,0.36,0,0.0437,4
5YSR0sWUZk7NuIbkycxndu,2022-02-23T13:56:32Z,NUOVO RANGE (con SFERA EBBASTA),4D04TN7Kw7Bq98kfDjUmgh,056KMTw6IztdQjBmFfVyO3,"['23TFHmajVfBtlRx5MXqgoz', '63pCdEiziMCDjGOdM1XCrJ']",176772,True,69,1,82.54,0.76,0.68,0.709,-4.866,0.233,0.0,0.13,0,0.0556,4
4huBDGP4I3S0pYI0EaRN1c,2022-02-23T08:43:30Z,City of Gods,0Nzff60OICCUBrtr980elH,14CHVeJGrR5xgUGQFV5BVM,"['5K4W6rqBFWDnAN6FQUkS6x', '3DiDSECUqqY1AuBP8qtaIa']",256000,True,65,8,147.356,0.801,0.474,0.497,-5.978,0.102,0.0,0.322,0,0.375,4
0551d0IIpufWriBpfaSe05,2022-02-22T16:31:21Z,This Letter I Write,4EqS8DzyT9RIrlGJREM9TO,5783Q2930j21HizVwFcUzB,[],197000,True,42,0,119.852,0.242,0.782,0.394,-14.687,0.849,0.0,0.11,1,0.133,4
1O2uHsaN51rIqE6FChYgI5,2022-02-17T08:21:35Z,Killing Strangers,6dx8kRfhUFETCGphaiwR9z,2VYQTNDsvvKN9wmU5W7xpj,[],336480,True,44,5,59.997,0.55,0.592,0.509,-5.938,0.00981,2.95e-06,0.132,1,0.0381,4
3dqHiEY4imK4a1EDLRVUtj,2022-02-15T09:43:42Z,Solas,6jYDx9P1IYmFohlBnDOzyF,2yvguoW65iZdUhca8yIfIo,[],192593,False,1,4,84.623,0.335,0.309,0.356,-16.708,0.964,0.889,0.0932,0,0.0365,4
0GsZZWhBMIQXAmPYPJ3PRQ,2022-02-06T10:25:08Z,INSUPERABILE,2mZcixmz3DBL28uBKVc9Oq,056KMTw6IztdQjBmFfVyO3,[],172461,False,0,4,122.035,0.848,0.667,0.84,-5.195,0.0344,0.0,0.183,0,0.0851,4
1ZMGp9MTXbtAPvcKa0U3zS,2022-02-06T10:22:21Z,Brividi,06ZMpecsvvoHGWJHlc2St7,06nvjg4wBANK6DCHjqtPNd,['1MRiIeZbc0cRuxOafDUCtH'],199146,False,66,7,122.962,0.614,0.523,0.342,-4.435,0.448,0.0,0.254,1,0.0347,4
3nd9LYwkRmQXON3a96B8Lk,2022-02-05T09:09:40Z,Up In Flames (Single from “Time Is Up” Soundtrack),4eXKTG7ZyhKuN5Y4oNsrnG,1TUO8DpCpHhmB4gYdLqLOF,['58AqJv0sDFPFnnBcLT8eeX'],222643,False,44,6,110.073,0.408,0.667,0.392,-10.3,0.463,0.0,0.125,1,0.0415,4
1QIsVlaCz3U5GfsEJE9O8L,2022-02-04T06:56:16Z,Quiet Storm,7bPPEnIPRKGOYuMQ7RaOVK,7EVtRX3E2y1wcAwd2YituJ,[],124675,False,66,7,154.082,0.526,0.613,0.108,-9.243,0.669,0.933,0.168,0,0.031,4
56WecW5HnWstqg0GvhseEP,2022-01-31T19:52:38Z,Giovane e triste,0ZfMM8FzMhHGffOGdew5R1,5RiGhrEoM1SBjZoY25lCfe,[],186078,True,48,0,80.14,0.461,0.589,0.694,-8.557,0.521,0.0,0.103,0,0.278,4
68Dni7IE4VyPkTOH9mRWHr,2022-01-30T07:28:48Z,No Role Modelz,0UMMIkurRUmkruZ3KGBLtG,6l3HvQ5sa6mXTsMTB19rO5,[],292799,True,90,10,100.028,0.521,0.69,0.494,-8.492,0.324,0.0,0.0534,0,0.339,4
2kaNmAbqrtOf7Rdr3fnCWl,2022-01-27T18:00:12Z,Toxic,1C9KIpgrisvGtCxTfNBBaJ,1Cd373x8qzC7SNUg5IToqp,[],168020,True,0,8,179.629,0.612,0.594,0.687,-6.627,0.835,0.0,0.461,0,0.363,4
43jjiw8mtLmxek1QRQNLsF,2022-01-27T17:54:41Z,Acquagym (feat. Rkomi),1Qx09ptZVNxVekeMaK9Rs2,7qXuz9bbBHBBFelmDcNOMQ,['056KMTw6IztdQjBmFfVyO3'],147890,False,48,1,127.976,0.494,0.937,0.548,-7.55,0.242,1.52e-05,0.33,1,0.424,4
5vUnjhBzRJJIAOJPde6zDx,2022-01-27T17:51:38Z,TO THE MOON,70uNWLPkbci5L1bZI1Mzp6,1Z25ZlGHqqlr3o1UGQOfNn,['04uu8U3I1h26Fp2NBkPTRZ'],152137,True,73,2,144.047,0.65,0.745,0.386,-11.814,0.0451,0.00758,0.111,1,0.346,4
3c1hhyuDTsP3hqRztpg2S5,2022-01-25T11:44:45Z,Paraocchi,2JFiCRthCdXKwqZBbVulT7,1MRiIeZbc0cRuxOafDUCtH,[],156083,True,53,9,143.092,0.92,0.56,0.73,-5.214,0.0167,0.0,0.0925,1,0.0679,4
6Wx88Mv6b9ofjKMKkdwOJd,2022-01-23T18:14:24Z,New Divide,1fqibtpI0bwD73uQGeEnhn,6XyY86QOPPrYVGvF9ch6wz,[],268613,False,72,5,117.971,0.808,0.493,0.38,-3.365,0.000235,0.0,0.0983,0,0.0362,4
0Gd0YjhOcXwJkpzGE9YIAj,2022-01-22T11:29:49Z,In Da Club,759rXZG1Xj0c7MQXRFwZmi,1N21tqenVOnzbRhdvw5bGH,['26SZRpiR6PU76LUWcf9ySp'],194340,True,0,1,90.052,0.67,0.686,0.528,-9.82,0.165,0.000226,0.0673,1,0.0807,4
1kmbMgdH81XirPnEuGQ2by,2022-01-12T20:15:00Z,The River,770K56IBM8v1T41fntlB4E,5AVBFCn4Hq4KY2Xjc5Gj4y,[],215699,False,57,11,73.994,0.437,0.554,0.37,-8.187,0.0526,0.00241,0.241,0,0.0388,4
5y7U3h1KVyWqTCC7GTvlWP,2022-01-10T21:42:45Z,Smells Like Drill Spirit,76t16YuHCms66GRJbmh94A,57kgxuYPX6hANUyqNj6UZ4,['11tNhDgqKxVfmUfJxrOdco'],70285,True,46,6,139.966,0.845,0.733,0.61,-4.969,0.0476,0.00654,0.16,0,0.0971,4
5OFf5pzpIcdstWwAhv5YXE,2022-01-09T13:46:53Z,right here,0aPzug6VeXcedSM4yJyqId,2kCcBybjl3SAtIcwdWpUe3,['13MwFjr6LL8GwK7wlfIL6t'],176906,True,1,8,110.034,0.72,0.605,0.213,-7.116,0.00043,6.71e-06,0.116,0,0.0312,4
4xhWfr0tyA7BGL7eXo8KnV,2022-01-04T19:36:56Z,ALL GIRLS ARE THE SAME,0j5TwvQkHVoLX2n7iERVOl,5AueQd01cgyqBRQ82ns5cd,[],121949,True,2,9,118.065,0.343,0.785,0.468,-10.923,0.593,0.0,0.103,0,0.0862,4
62P3CMQAknHW4iftsBD41Y,2022-01-02T15:29:58Z,Eleanor Rigby,1oQNR5BeygfHcPOEKjkPU6,7dOCnyDR2oEa1hQlvTXvdT,[],280480,False,0,4,130.447,0.229,0.316,0.209,-10.821,0.697,0.00211,0.128,0,0.0311,4
3UoRLUFPhTSYqhbqSdlf1U,2021-12-31T17:08:04Z,North Memphis,3pXNnx5yR3ozsjmHXnMDav,6VlPp1wb53ANKMIwZPJfM0,[],136228,False,0,1,167.374,0.948,0.715,0.951,-5.531,0.000118,0.861,0.0609,1,0.0574,4
